30774 12821 3147;30774 3147
43718 43717 44096 1265 44126 44628 44600;44096 44126 44600 44628
33029 31043 33030 33043;33029 33030
41641 37892;37892
43176 41921 44163 41601 28335;28335 43176
9090 43408 8041;9090
6421 4634;4634
729 167;729
3953 2005 23103 30737 4592 909 28337 7252;30737 23103
1872 1653 7077;1653
4446 5553 9163 37879 44586 37883 42441 7138 9768 7136 1944 7062 45254 31933 37878 44580 42447 7365 3049;37878 44580
34814 34815 34820 34812 34818 1671 34819;34819 34814 34812 1671 34820 34815
1958 146 2798 6343;146
8667 30756 561 5073 41476 44734 8683 9303 10312 40142 9882 22691;30756 8683 9303 40142 10312 9882 22691
45221 37871 42443;37871 42443
17 148;148
42438 5082 3229 3120 46925 3121 46917 46918 46919 46911 46916;3120 46925 3121 46919 42438 46916 46917
39242 1187 10570 8633 4797 21357 7282 275 16326 4496 7387 5656 5972 3736 3735 39264;5656 3735 39264
32 277;32
32210 33030 30931 33034;32210 33030 30931
30786 31529 92 41454 8093 2511 39256 1077;31529 41454 8093 2511
7753 4046 47008 47010 6039;7753
51958 51959 51960 51961;51958
36423 36422 36433 782;36423 36422 782
28328 45214;28328
1015 5748;5748
4331 1829;1829
49083 49099 49117 47060 975;49083 49099 49117
36437 46932 37882 44607 4615;46932
3748 4147 7837 44948;3748 7837 44948
43169 48275 48276 32209 1704 716 45767 2398;48275 48276
422 162 574 37945;574 422
1723 3008;3008
46322 24823 5776 3341 43191 45790 11517 46299 30737 18753 46320 674 42568 42680 22231 4836 46321 46243 46922;24823 43191 46299 46922 22231
4025 4067 14790;4067
207 3270;3270
2873 3078 226;226 3078
4900 880;4900
40665 40670 3361 36925;36925 40670
23164 3134 4067 1832;23164 4067
1085 300 2560 1207 21263 33203 5888 18164 848;1085 848
92 41454 37910 2959;92 2959
47483 9127 47476 47057;47476 47483
22231 46350 46336 47495 47473 28331 3221 28635 13627 12506;13627 22231 12506
7828 1723;7828
17851 28869;28869
3399 34818 34814 39269 44582 688 45215 45255 26267 3049 13299 34815 42843 36417 178;34814 45255 36417 3399 34818
30747 383 2698 2323 5962 912 12468 18987 4730 18714;383 2698 4730
91 473;473
42462 5639 1725;42462
22166 23104 34920;23104
45216 45224 13470 45230 45295;45216 45224 45295 13470
1185 207 23343 11621 3796 28542 23115 192;207 28542
47471 47060;47060
39240 51 39253;39240
33026 24280;33026
7753 335;7753
36421 36428 28348 23100 1187 503 23430 28377 26267 696;36421 36428 28348 23430 26267
49138 1782 48283 49181 48291 953 5256 3682 3681 44630;49138 49181 3682 5256 44630
1015 5748 2057 4572 30931 26267 3060 4296;30931 5748
34 47500;47500
21578 49180 8454;49180
4595 45786;45786
3231 874 23092 23132;3231 874 23132
42437 42440 37876 42336 249 307;42437 42440 42336
2234 957 998 1512 4546;957 998
34827 3399 34814 34818 2689 34815 34830 34833 163;34827 34814 2689 34830 34818 163 34815
1961 1962;1961
325 9223 10665 4599 12187 22026 12685 3479;3479
1264 302 2879;1264 302
44643 49107 1469 347 1632;44643
32210 48266 48282;48266
12462 3386 5891;3386 12462
37 44632 6360;37 6360
272 262;262
4759 39253 13381 5974 37871 3049 3642 4018 269 379;39253
5082 3229 3120 46916 46918 46919 42438 46917 6179;46919 5082 3120 46918 3229 46916 42438 46917
45219 5634 2151 4164 22211 22212 8451 16379 22441 938 39272 6192 15504 14458;45219 39272
44106 44126 43718 2714 1265 37876;44126 44106
30746 28616 28353;30746
45300 205 237 1183 421 98;421
7460 1182 30931 48280 48276 48269 556 48266 32210 975 160 41472 45224 49088 49089 49100 49114 4724 44915;7460 48280 48266 48276 975
49107 5786 4615 49135;49107
905 906 5704 42501;906 42501
51 28324 28334 28363;51
1149 404 574;1149 574
2593 45781 46332 46338 4836 46319 46325 46342 45081 4724 46341 1068 886 133 44582 249 2425 36417 43175 3615 45740 42466 44134 7457 42574 3060 7818 44094 30791;46332 46338 46325 45081 249 36417 43175 44134 30791
23089 2873;23089
36426 28348 37907 26549 7131 7132;36426 37907 7132
51124 3448 5766 51086 45818;3448 51124
48577 6530 48355 7706;7706
8454 49305 51071;51071
51139 51235 51700 51729 48381 51110;48381 51139 51235 51700 51729
47539 45776 48266;47539
47475 47057 47476 47477 47490 47478 47485 47487 47497 47486 47508 47488;47475 47057 47490 47497 47485 47487 47486 47508 47488
26863 9716;9716
25971 9904 32454 2797 7083;9904 2797
14613 23110;23110
1793 83 2548 5078;83
1340 1341 9458 285 2482 2483 9182 879 30756;1341 879
44591 44621 3120 44599 44595 1288 5804 4342 4181;44591 5804 3120 44595 44621 44599
3683 677 678 1427;3683
45773 45794 45787 45769 45795 45765 45761 45786 45784;45773 45769 45787 45794 45795 45765 45784
44100 21502 44582;44100
535 30746 32820 4106 6461 23118 1500 23469 796 9953 6722 162 90 404;535
30753 23204 2311 23109;30753
9703 4554 3351 214 4832 15050 3860 13888 11879 6955 9802;9703 214 11879 13888 6955
5639 34815 34817 34820 1069 2689 9584 12005 549 11800 7828;2689 5639 34815 1069
6963 5315 4004 4558 2242 9158 41467 47535 47484 3555 13255 18962 47438 9113 15990 6961 9379 12994 37920 4979 1915 38038 10206 525 3041 14954 39360 38051 5789 3601 8249 6323 4164 28331 3221 4919 19190 2092 43511 44102 1939 857 28376 7756 7940 3131 28375 3979 2490 36615 46905 112 14245 1311 45262 3557 7839 3660 10;2242 46905 3660
36440 36450 36140;36450 36140
41476 28266;41476
36542 30742 36499 11059;36542
6965 4527;6965
49874 19482 46295 50367 5434 5735;49874
23164 28363 36442;28363
4453 210 2197;2197
5931 9264 46903 42006 19302 357 356 4412 417 408;4412 356
1635 1636;1635
867 3009 3012 3011;3009
130 4297 250;4297
42530 1058 42536 42535 7332 7333 7930 4301 12189 6536 1599 6569 36593 43236;42530 42535 6536 1058 7332 7333 7930 12189 1599 6569
26267 26266 26265 28325 28340 28389 28339 23080 23142;26267 26265 28325 28340 23142
11151 14443 23509 33038 30971;11151 14443 30971
2941 3283 1655;2941 1655
3120 46916 3229 5082 46918 46928 46897 46908 46925 47489 47502 47508 47488 47485;47508 47488 47485
39341 42455 42456 41488 42447 13342 28470;42455 42447 42456
30791 1564 1671 67;30791
36421 36429 37 36719 36437 37883 37879 2755 30195 37877 37904;36421 36437
682 300 4768 48 203 1183 722;300 48
44672 64;64
43162 32210 43156 41446;43162
23078 4594 1224 307;23078 4594
2630 182 3465 6655 459 986 707 3411 3412 488 2208 16733 4422 4455 15062;2630 3465
937 116;116
46297 45994 46326 46328 46343 205 204;46297 45994 46328 46343 204 205
40678 40679 23066 26578;40678 40679
44096 23118;23118
47521 48283 767 730 41454 6918 574;730 6918
2527 6323;6323
6199 5606;5606
23078 23068 173 174 175 3465;23078 174
40655 42464 42447 37878 43156;40655 37878 42464
45797 42444 42449 46352 459;42449 42444
33029 31043 3425 2221 13140;33029 3425
487 2207 23078;23078 2207
41444 24997 33034 30931 33030;41444 33034
7655 41476 835 359 5728 560;7655 560
146 42591 42592 868;146 868
48255 48276 48272 48260;48272
51080 51100 51095 51074 51132 51093 30756 4422;51100 51074 51095 51132 51080 51093
50325 1938 2084 2945 39333 43261 45266;50325 45266
5384 1958;1958
13263 6269 5932 4327 24827 27674 18369;4327
30746 28616;30746
42470 42444 43162 43153 43156;43162 42470 43153
13043 36719 173;13043 173
36 1659 3591 3590 3988 4660;36 1659
43301 14428 3912 7752 6639;6639 7752
40674 23218 40668 2184 40678 40679 2075 40704;40674 23218 2184 40668 40678 40704
51071 546 49305 6039;546 51071
46915 38829 5689 38830 1849;46915
2074 6769 2072 37945 422 24476 13423 15787 3736;2074 13423 15787
98 45903 6200 1979 5487 45763;98
45235 47060 40759;45235
1078 34813;1078
39240 1660 40656;1660
45235 11581 2245;45235
5962 2323 30744 11170 5043 16637 5832 23070 16;5962
45760 45770 45781 45225 546;546
1347 28362;1347
47061 47060 47506;47506 47061
46300 46335 10829 46901 11410 7797 40664;46300 46335
5974 3049 3313 37878 36719 37883 2252 731 20083 7646 9331 6212 4253 10497 22958 8155 5240 9166 3524 8153 10384 4043 1945 16852;37883 37878 9331 2252 731
30791 1587 22679;30791 1587
23072 33037;33037
4689 23846;23846
39257 39247 40655 40665;39257
33037 33048;33037
28378 30744 30751;28378 30744
47058 3892 2887 963 2116 47506 47473 37882 46899 42441 46924;47506 47058 46899
33034 32210 31307 33040 33054;31307 33040 33034
4083 2092;2092
7834 39264 4390;39264
30931 31043 33029 33030;33029 30931 33030
730 93;93
8436 4556 2123 5176 1031 7890;4556 7890 1031
20537 50305 50336 50335 49096 19898;50336 49096 50335 19898 20537
34966 39263;34966
48266 48274 48257 48256 48282 48296 33043;48266 48274 48257 48256 48282 48296
35049 42060 36549 48827 48356 48937 49098 46897 1815 46908 28858 249 611 42844 13944 5476 49095 49105;36549 46897 48827 249
36415 45787 1107;36415 45787
44106 44070 44107 196 37893 7066 2684 2870 27292 44121;44107 44106
374 40668 10430;40668
30781 4927 30776 611 2022 30736 28378 23078 173 487 504 705 28394;30781 4927 30776 611 2022 30736 28378 23078 504
34819 1671;34819
37895 54 3011;3011
9537 51080 953;51080
45768 45765 47060;45768
634 116 204 1096 288 290 149 16;290 149 16
42848 43203 43183 43156 42673;43203 43183 42673
37901 37881 37882;37901 37881
41456 34830;34830
3773 4567 1402 1404 9199 2631 3269;3773 3269
41448 3032 41571;41571
33369 40678 40679;40678
42443 574 9090 42455;42443 42455
1047 2193 5352 5353 3327 782;1047 782
2689 23078 39241 1709 218 488 738 2711 13492 13493 612;2689 218 1709 39241
35597 35398 4011 6700 3879 43333 8972 6403 14241 13392 43252 6750 6404;8972
3504 89 6120 15196 12313 10448 21499 13045 2359 7814;3504
45787 45764 45761;45761 45787
7502 3295;7502
44595 44621 39241 33031 41460 181 29 42846 44582;44595 44621
50297 50300 1818;50297 50300
1582 4699;4699
46287 1614 46947 46954 21951 34977 2224;21951 46287 34977
49208 50313 51709 50297;50313
39240 39288;39240
49098 2065 41583;2065
90 693 573;573
48266 48280 48257 48273 48261;48266 48280
42844 42846 42843 42848 43152;42846 42848 42844
36036 48258 44580 46920 48152 1250 48307 45221 46899 43179 13403;48152 48307 46899 45221
45255 31933 36036 13332 45254;31933
45994 46295 46297 46299 45289 46298 43043 18753 34814 1671 3399 34821 41491 1069 26266;45994 46297 34821 46295 46299
3879 2568 35760 205 117 1292 238 143 1123 4912 5723 5312 1319;117
43178 3773 43149 8361 2542 4882 39341;43178 43149
908 465 4267 44077;465 908 4267
42455 37879 27;42455
45781 466 39247 20336 45780 47579 17214 3050 138;45781 45780
13832 15547;15547
30971 39241 41471 28858 42844 133 44095 45215 45786 611 42440 601 249 5962 4705 974;39241 28858 45215 249
31043 39302 30931;31043 39302
4676 50291 42437;4676
11060 7652;11060
42444 42439 42455 42447 42466 42490;42444 42439 42490 42455
946 501;946
174 5553 1068 26264 23644 803;174 23644
100 226 9195 227 2230 1572 2853;227 2853
2809 23228;23228
37878 37883 36719 39240 39244 39273;37878
533 532;532
