i,j,k,total_count,odd_i_count,odd_j_count,odd_k_count,odd_i_pct,odd_j_pct,odd_k_pct,shannon_entropy,agreement_score
26,64,798,18,2,15,1,11.11111111111111,83.33333333333334,5.555555555555555,0.5566469035821068,0.49331815297919945
26,92,1238,15,0,15,0,0.0,100.0,0.0,0.0,1.0
26,118,218,19,15,1,3,78.94736842105263,5.263157894736842,15.789473684210526,0.6330395116644678,0.42378260447830407
26,563,1618,18,7,11,0,38.88888888888889,61.111111111111114,0.0,0.6682484776645385,0.39173402249606903
26,734,984,17,12,2,3,70.58823529411765,11.76470588235294,17.647058823529413,0.8037421073162029,0.26840240582907504
27,152,701,18,7,0,11,38.88888888888889,0.0,61.111111111111114,0.6682484776645385,0.39173402249606903
27,258,1553,14,1,0,13,7.142857142857142,0.0,92.85714285714286,0.25731864054383163,0.7657784796347136
27,307,1351,16,13,1,2,81.25,6.25,12.5,0.6019239717322894,0.45210518948224665
27,875,1147,17,4,13,0,23.52941176470588,76.47058823529412,0.0,0.5455945739691843,0.503378416938491
28,312,1771,13,5,5,3,38.46153846153847,38.46153846153847,23.076923076923077,1.0733942812811266,0.022954419540997417
28,737,1620,18,0,16,2,0.0,88.88888888888889,11.11111111111111,0.34883209584303193,0.6824793428572198
29,701,1397,16,0,2,14,0.0,12.5,87.5,0.37677016125643675,0.6570490198018722
29,935,1516,15,2,10,3,13.333333333333334,66.66666666666666,20.0,0.8608513906312316,0.21641929595119025
29,1569,1690,16,0,2,14,0.0,12.5,87.5,0.37677016125643675,0.6570490198018722
30,189,1793,16,0,16,0,0.0,100.0,0.0,0.0,1.0
30,217,770,11,3,7,1,27.27272727272727,63.63636363636363,9.090909090909092,0.8599672810355049,0.21722404718585797
31,279,1733,17,4,12,1,23.52941176470588,70.58823529411765,5.88235294117647,0.7529746827658885,0.31461290708958944
32,55,899,17,1,0,16,5.88235294117647,0.0,94.11764705882352,0.22371807606583377,0.7963630314593915
32,151,445,17,1,15,1,5.88235294117647,88.23529411764706,5.88235294117647,0.44375728426014843,0.5960747127650169
32,559,1318,13,11,1,1,84.61538461538461,7.6923076923076925,7.6923076923076925,0.5359610497090694,0.5121472286107087
33,591,1624,17,9,3,5,52.94117647058824,17.647058823529413,29.411764705882355,1.0027399543973452,0.08726675940153039
33,1339,1455,11,7,3,1,63.63636363636363,27.27272727272727,9.090909090909092,0.8599672810355049,0.21722404718585797
34,1217,1374,17,6,4,7,35.294117647058826,23.52941176470588,41.17647058823529,1.073383620336505,0.022964123550984872
35,556,1650,14,7,5,2,50.0,35.714285714285715,14.285714285714285,0.9922819748525739,0.09678602261444236
35,1701,1780,17,5,2,10,29.411764705882355,11.76470588235294,58.82352941176471,0.923840705630872,0.15908395058016345
36,1231,1667,14,5,1,8,35.714285714285715,7.142857142857142,57.14285714285714,0.8760057656431737,0.20262518936030705
37,156,387,14,2,11,1,14.285714285714285,78.57142857142857,7.142857142857142,0.6559757323365467,0.40290515671200844
38,905,1674,14,4,6,4,28.57142857142857,42.857142857142854,28.57142857142857,1.0789922078775833,0.017858967165124917
39,352,997,12,4,1,7,33.33333333333333,8.333333333333332,58.333333333333336,0.887694275799104,0.19198584891555315
39,799,1758,19,13,1,5,68.42105263157895,5.263157894736842,26.31578947368421,0.7659373365785205,0.3028137911081479
40,206,939,17,2,0,15,11.76470588235294,0.0,88.23529411764706,0.362210557135449,0.6703017425969531
40,1611,1763,18,17,1,0,94.44444444444444,5.555555555555555,0.0,0.2145591551764051,0.8046998405265214
42,514,927,12,1,0,11,8.333333333333332,0.0,91.66666666666666,0.2868359830561607,0.7389106366142117
43,287,450,13,11,1,1,84.61538461538461,7.6923076923076925,7.6923076923076925,0.5359610497090694,0.5121472286107087
43,803,1240,17,4,1,12,23.52941176470588,5.88235294117647,70.58823529411765,0.7529746827658885,0.31461290708958944
45,397,1525,14,1,13,0,7.142857142857142,92.85714285714286,0.0,0.25731864054383163,0.7657784796347136
46,510,1445,17,17,0,0,100.0,0.0,0.0,0.0,1.0
46,549,1303,16,5,4,7,31.25,25.0,43.75,1.0717300941124526,0.02446922798237361
46,1031,1551,13,2,0,11,15.384615384615385,0.0,84.61538461538461,0.4293230219306162,0.6092133445447792
47,828,973,17,8,2,7,47.05882352941176,11.76470588235294,41.17647058823529,0.9718487712358767,0.11538512607201346
48,153,522,17,0,2,15,0.0,11.76470588235294,88.23529411764706,0.362210557135449,0.6703017425969531
48,1031,1633,19,9,8,2,47.368421052631575,42.10526315789473,10.526315789473683,0.9551311954514641,0.1306021193250927
50,86,601,15,1,1,13,6.666666666666667,6.666666666666667,86.66666666666667,0.48509409130221154,0.5584483294918265
50,512,849,18,2,4,12,11.11111111111111,22.22222222222222,66.66666666666666,0.8486855577264172,0.22749311428573993
51,79,300,17,13,1,3,76.47058823529412,5.88235294117647,17.647058823529413,0.6779087256441981,0.38294088584604025
51,162,866,13,10,2,1,76.92307692307693,15.384615384615385,7.6923076923076925,0.6870920273799715,0.374581884376189
51,242,1281,18,1,6,11,5.555555555555555,33.33333333333333,61.111111111111114,0.8277381569989198,0.24656026012377952
51,845,999,21,10,1,10,47.61904761904761,4.761904761904762,47.61904761904761,0.8515842539195699,0.22485460730465845
52,206,1494,17,0,15,2,0.0,88.23529411764706,11.76470588235294,0.362210557135449,0.6703017425969531
52,264,1828,17,11,4,2,64.70588235294117,23.52941176470588,11.76470588235294,0.8739004142690673,0.20454156276685143
52,314,391,17,2,15,0,11.76470588235294,88.23529411764706,0.0,0.362210557135449,0.6703017425969531
52,439,640,17,12,5,0,70.58823529411765,29.411764705882355,0.0,0.605797499372304,0.44857935267888205
53,778,1144,15,13,2,0,86.66666666666667,13.333333333333334,0.0,0.39267446722755217,0.6425722966346875
53,838,897,14,1,2,11,7.142857142857142,14.285714285714285,78.57142857142857,0.6559757323365467,0.40290515671200844
53,877,1096,16,1,6,9,6.25,37.5,56.25,0.8647400965276372,0.21287964330346687
55,71,571,22,12,10,0,54.54545454545454,45.45454545454545,0.0,0.6890092384766586,0.3728367636302601
55,983,1177,15,15,0,0,100.0,0.0,0.0,0.0,1.0
56,157,477,17,5,2,10,29.411764705882355,11.76470588235294,58.82352941176471,0.923840705630872,0.15908395058016345
57,253,712,16,1,13,2,6.25,81.25,12.5,0.6019239717322894,0.45210518948224665
59,634,1477,14,4,7,3,28.57142857142857,50.0,21.428571428571427,1.0346012329101812,0.05826537388866426
59,1248,1628,15,1,4,10,6.666666666666667,26.666666666666668,66.66666666666666,0.8033149761408755,0.2687911973797732
60,268,426,14,5,3,6,35.714285714285715,21.428571428571427,42.857142857142854,1.060944240790747,0.034286934768433364
60,397,1806,16,6,7,3,37.5,43.75,18.75,1.0433534269422904,0.05029878356158923
60,624,1179,9,2,7,0,22.22222222222222,77.77777777777779,0.0,0.5297061990576545,0.517840639030319
61,342,1623,14,7,4,3,50.0,28.57142857142857,21.428571428571427,1.0346012329101812,0.05826537388866426
61,505,635,11,2,5,4,18.181818181818183,45.45454545454545,36.36363636363637,1.0361987848192837,0.05681121947442658
63,379,1172,20,0,3,17,0.0,15.0,85.0,0.42270908780599087,0.615233606827339
63,505,878,20,0,0,20,0.0,0.0,100.0,0.0,1.0
64,151,872,15,8,2,5,53.333333333333336,13.333333333333334,33.33333333333333,0.9701157839869381,0.11696255904524144
64,1573,1686,12,7,4,1,58.333333333333336,33.33333333333333,8.333333333333332,0.887694275799104,0.19198584891555315
65,198,1481,14,2,6,6,14.285714285714285,42.857142857142854,42.857142857142854,1.0042424730540764,0.08589910798143496
65,830,998,15,14,0,1,93.33333333333333,0.0,6.666666666666667,0.24493002679463532,0.7770550818327606
65,1301,1754,14,1,13,0,7.142857142857142,92.85714285714286,0.0,0.25731864054383163,0.7657784796347136
66,1431,1806,17,0,3,14,0.0,17.647058823529413,82.35294117647058,0.4659992569610426,0.5758291967350997
67,901,1691,13,4,6,3,30.76923076923077,46.15384615384615,23.076923076923077,1.0579054247036734,0.03705298437339244
68,108,128,14,0,4,10,0.0,28.57142857142857,71.42857142857143,0.5982695885852573,0.45543155237179933
68,848,1180,16,5,0,11,31.25,0.0,68.75,0.6210863745552451,0.4346628187563675
68,874,968,16,1,5,10,6.25,31.25,62.5,0.8305236914828463,0.2440247573693879
68,1230,1364,19,16,0,3,84.21052631578947,0.0,15.789473684210526,0.4361623253853443,0.6029879422574813
68,1690,1702,15,8,6,1,53.333333333333336,40.0,6.666666666666667,0.8823109245150755,0.19688598642498778
69,478,1784,15,1,13,1,6.666666666666667,86.66666666666667,6.666666666666667,0.48509409130221154,0.5584483294918265
69,809,1196,14,3,4,7,21.428571428571427,28.57142857142857,50.0,1.0346012329101812,0.05826537388866426
71,523,822,13,7,6,0,53.84615384615385,46.15384615384615,0.0,0.6901856760188042,0.3717659240317227
71,560,977,19,17,0,2,89.47368421052632,0.0,10.526315789473683,0.336495757583516,0.6937083618539687
71,661,960,13,2,7,4,15.384615384615385,53.84615384615385,30.76923076923077,0.9839614460010255,0.10435969436140202
71,822,1307,17,7,4,6,41.17647058823529,23.52941176470588,35.294117647058826,1.073383620336505,0.022964123550984872
71,1366,1539,14,7,2,5,50.0,14.285714285714285,35.714285714285715,0.9922819748525739,0.09678602261444236
72,650,1346,14,7,5,2,50.0,35.714285714285715,14.285714285714285,0.9922819748525739,0.09678602261444236
72,927,1235,18,1,1,16,5.555555555555555,5.555555555555555,88.88888888888889,0.4258484492385814,0.6123760369048357
73,518,738,13,7,0,6,53.84615384615385,0.0,46.15384615384615,0.6901856760188042,0.3717659240317227
74,387,1602,18,10,1,7,55.55555555555556,5.555555555555555,38.88888888888889,0.8544149816001841,0.22227796792986498
74,407,686,11,11,0,0,100.0,0.0,0.0,0.0,1.0
74,566,1697,16,4,9,3,25.0,56.25,18.75,0.9840865030829146,0.10424586249989909
74,908,1629,11,1,0,10,9.090909090909092,0.0,90.9090909090909,0.30463609734923813,0.7227082743462115
75,457,536,13,6,2,5,46.15384615384615,15.384615384615385,38.46153846153847,1.0123308391031736,0.07853675992423004
75,1027,1766,15,8,4,3,53.333333333333336,26.666666666666668,20.0,1.009613758174038,0.08100995356784879
75,1294,1643,9,4,4,1,44.44444444444444,44.44444444444444,11.11111111111111,0.9649629230074277,0.1216528952381466
76,891,1244,14,2,3,9,14.285714285714285,21.428571428571427,64.28571428571429,0.8921178708188162,0.18795931920589992
77,1080,1282,18,17,0,1,94.44444444444444,0.0,5.555555555555555,0.2145591551764051,0.8046998405265214
78,1355,1784,15,0,11,4,0.0,73.33333333333333,26.666666666666668,0.5799151714181009,0.472138462859218
79,211,1846,13,2,11,0,15.384615384615385,84.61538461538461,0.0,0.4293230219306162,0.6092133445447792
79,937,1181,16,8,7,1,50.0,43.75,6.25,0.8815322611881636,0.19759475632947876
80,94,1403,14,2,4,8,14.285714285714285,28.57142857142857,57.14285714285714,0.9556998911125343,0.13008447022637415
81,109,271,12,6,2,4,50.0,16.666666666666664,33.33333333333333,1.0114042647073518,0.07938016428569505
81,246,328,16,13,3,0,81.25,18.75,0.0,0.48257756517701206,0.5607389702858143
81,1047,1288,19,5,10,4,26.31578947368421,52.63157894736842,21.052631578947366,1.017164350924834,0.07413710786179006
82,405,1562,13,8,0,5,61.53846153846154,0.0,38.46153846153847,0.666278442414676,0.39352722585833155
82,423,1186,17,5,8,4,29.411764705882355,47.05882352941176,23.52941176470588,1.0551016181686426,0.03960511906545017
82,897,1653,16,7,3,6,43.75,18.75,37.5,1.0433534269422904,0.05029878356158923
83,130,720,14,8,2,4,57.14285714285714,14.285714285714285,28.57142857142857,0.9556998911125343,0.13008447022637415
83,846,1457,14,7,1,6,50.0,7.142857142857142,42.857142857142854,0.8982053397041498,0.18241826623559898
83,1492,1526,17,6,4,7,35.294117647058826,23.52941176470588,41.17647058823529,1.073383620336505,0.022964123550984872
83,1751,1840,14,12,0,2,85.71428571428571,0.0,14.285714285714285,0.410116318288409,0.6266960396141128
84,146,347,18,13,0,5,72.22222222222221,0.0,27.77777777777778,0.5908422462755826,0.4621922106916504
84,809,1450,17,1,1,15,5.88235294117647,5.88235294117647,88.23529411764706,0.44375728426014843,0.5960747127650169
86,1201,1472,15,2,2,11,13.333333333333334,13.333333333333334,73.33333333333333,0.7647544195674196,0.3038905285734961
87,166,466,14,10,0,4,71.42857142857143,0.0,28.57142857142857,0.5982695885852573,0.45543155237179933
88,503,1725,20,0,5,15,0.0,25.0,75.0,0.5623351446188083,0.4881404928570853
90,494,686,14,3,9,2,21.428571428571427,64.28571428571429,14.285714285714285,0.8921178708188162,0.18795931920589992
90,522,1601,17,15,2,0,88.23529411764706,11.76470588235294,0.0,0.362210557135449,0.6703017425969531
90,1299,1563,17,14,1,2,82.35294117647058,5.88235294117647,11.76470588235294,0.5783252866601273,0.4735856383317417
91,181,1720,15,10,2,3,66.66666666666666,13.333333333333334,20.0,0.8608513906312316,0.21641929595119025
91,546,1465,14,4,6,4,28.57142857142857,42.857142857142854,28.57142857142857,1.0789922078775833,0.017858967165124917
92,1108,1242,15,2,11,2,13.333333333333334,73.33333333333333,13.333333333333334,0.7647544195674196,0.3038905285734961
93,1228,1320,12,1,11,0,8.333333333333332,91.66666666666666,0.0,0.2868359830561607,0.7389106366142117
94,592,1367,13,7,5,1,53.84615384615385,38.46153846153847,7.6923076923076925,0.8981370031878679,0.1824804688133298
94,1008,1651,14,9,1,4,64.28571428571429,7.142857142857142,28.57142857142857,0.8304717124362917,0.2440720707365246
95,863,1316,17,9,3,5,52.94117647058824,17.647058823529413,29.411764705882355,1.0027399543973452,0.08726675940153039
96,186,1527,19,5,11,3,26.31578947368421,57.89473684210527,15.789473684210526,0.9591824302739718,0.12691452647336965
96,936,1216,13,7,1,5,53.84615384615385,7.6923076923076925,38.46153846153847,0.8981370031878679,0.1824804688133298
97,437,1519,12,8,4,0,66.66666666666666,33.33333333333333,0.0,0.6365141682948128,0.42061983571430506
100,353,412,18,1,14,3,5.555555555555555,77.77777777777779,16.666666666666664,0.6546695645285008,0.4040940818874491
101,1450,1666,10,0,9,1,0.0,90.0,10.0,0.3250829733914482,0.7040967257106154
103,230,1063,19,3,4,12,15.789473684210526,21.052631578947366,63.1578947368421,0.9097077103274986,0.17194835729502667
105,638,1689,14,0,0,14,0.0,0.0,100.0,0.0,1.0
106,248,908,17,13,0,4,76.47058823529412,0.0,23.52941176470588,0.5455945739691843,0.503378416938491
106,502,1781,20,12,8,0,60.0,40.0,0.0,0.6730116670092565,0.3873983807106558
106,649,1681,17,12,4,1,70.58823529411765,23.52941176470588,5.88235294117647,0.7529746827658885,0.31461290708958944
107,529,943,17,3,14,0,17.647058823529413,82.35294117647058,0.0,0.4659992569610426,0.5758291967350997
108,1082,1377,14,1,8,5,7.142857142857142,57.14285714285714,35.714285714285715,0.8760057656431737,0.20262518936030705
109,380,893,14,4,5,5,28.57142857142857,35.714285714285715,35.714285714285715,1.0933747175566466,0.004767442677901301
109,912,1385,18,2,8,8,11.11111111111111,44.44444444444444,44.44444444444444,0.9649629230074277,0.1216528952381466
110,495,594,18,1,11,6,5.555555555555555,61.111111111111114,33.33333333333333,0.8277381569989198,0.24656026012377952
111,1206,1788,15,12,2,1,80.0,13.333333333333334,6.666666666666667,0.6277052571971504,0.42863805213926576
112,618,1247,14,5,4,5,35.714285714285715,28.57142857142857,35.714285714285715,1.0933747175566466,0.004767442677901301
112,1190,1625,17,8,5,4,47.05882352941176,29.411764705882355,23.52941176470588,1.0551016181686426,0.03960511906545017
113,285,1082,11,9,2,0,81.81818181818183,18.181818181818183,0.0,0.47413931305783735,0.5684197983688541
113,1245,1538,13,5,1,7,38.46153846153847,7.6923076923076925,53.84615384615385,0.8981370031878679,0.1824804688133298
114,507,1183,18,3,15,0,16.666666666666664,83.33333333333334,0.0,0.45056120886630463,0.589881513693482
115,725,1091,17,0,17,0,0.0,100.0,0.0,0.0,1.0
116,460,587,15,3,9,3,20.0,60.0,20.0,0.9502705392332347,0.1350264792820728
117,172,734,15,5,1,9,33.33333333333333,6.666666666666667,60.0,0.8532361505557784,0.2233509861880485
117,587,685,16,13,2,1,81.25,12.5,6.25,0.6019239717322894,0.45210518948224665
118,617,1722,16,0,12,4,0.0,75.0,25.0,0.5623351446188083,0.4881404928570853
119,358,626,14,1,5,8,7.142857142857142,35.714285714285715,57.14285714285714,0.8760057656431737,0.20262518936030705
120,1528,1818,17,1,16,0,5.88235294117647,94.11764705882352,0.0,0.22371807606583377,0.7963630314593915
121,208,835,19,6,7,6,31.57894736842105,36.84210526315789,31.57894736842105,1.0958871542125534,0.0024805242792796944
123,554,1393,18,12,3,3,66.66666666666666,16.666666666666664,16.666666666666664,0.8675632284814612,0.21030991785715258
123,628,904,16,3,4,9,18.75,25.0,56.25,0.9840865030829146,0.10424586249989909
124,137,1564,15,2,1,12,13.333333333333334,6.666666666666667,80.0,0.6277052571971504,0.42863805213926576
125,167,1496,16,0,2,14,0.0,12.5,87.5,0.37677016125643675,0.6570490198018722
125,674,1574,15,3,11,1,20.0,73.33333333333333,6.666666666666667,0.7298712099831165,0.3356425942877741
125,854,1381,15,6,4,5,40.0,26.666666666666668,33.33333333333333,1.0851886129676505,0.012218756188075552
125,859,1265,18,7,2,9,38.88888888888889,11.11111111111111,50.0,0.9580002800887726,0.12799056594370206
125,937,1831,12,12,0,0,100.0,0.0,0.0,0.0,1.0
126,212,1546,17,2,11,4,11.76470588235294,64.70588235294117,23.52941176470588,0.8739004142690673,0.20454156276685143
126,465,1031,13,5,2,6,38.46153846153847,15.384615384615385,46.15384615384615,1.0123308391031736,0.07853675992423004
127,733,1106,16,11,4,1,68.75,25.0,6.25,0.7774621319109288,0.29232347031774397
127,816,1179,12,1,7,4,8.333333333333332,58.333333333333336,33.33333333333333,0.887694275799104,0.19198584891555315
129,201,623,15,0,11,4,0.0,73.33333333333333,26.666666666666668,0.5799151714181009,0.472138462859218
129,1180,1575,15,5,2,8,33.33333333333333,13.333333333333334,53.333333333333336,0.9701157839869381,0.11696255904524144
129,1765,1800,14,1,2,11,7.142857142857142,14.285714285714285,78.57142857142857,0.6559757323365467,0.40290515671200844
130,1065,1254,14,5,3,6,35.714285714285715,21.428571428571427,42.857142857142854,1.060944240790747,0.034286934768433364
132,957,1343,17,11,5,1,64.70588235294117,29.411764705882355,5.88235294117647,0.8082699580001821,0.26428097852420795
133,506,1608,15,13,2,0,86.66666666666667,13.333333333333334,0.0,0.39267446722755217,0.6425722966346875
133,666,1738,13,6,1,6,46.15384615384615,7.6923076923076925,46.15384615384615,0.9110175397125628,0.17075609920855273
134,161,643,16,6,0,10,37.5,0.0,62.5,0.6615632381579821,0.39781918973433217
134,221,1390,19,17,0,2,89.47368421052632,0.0,10.526315789473683,0.336495757583516,0.6937083618539687
134,489,868,15,15,0,0,100.0,0.0,0.0,0.0,1.0
134,533,814,17,16,0,1,94.11764705882352,0.0,5.88235294117647,0.22371807606583377,0.7963630314593915
134,865,1030,18,13,1,4,72.22222222222221,5.555555555555555,22.22222222222222,0.7298429194806347,0.33566834541287394
134,1177,1179,21,20,1,0,95.23809523809523,4.761904761904762,0.0,0.19144408195771734,0.8257400868965226
135,238,1218,16,0,2,14,0.0,12.5,87.5,0.37677016125643675,0.6570490198018722
135,520,542,18,11,5,2,61.111111111111114,27.77777777777778,11.11111111111111,0.900908873225472,0.17995740397399096
138,145,644,15,5,0,10,33.33333333333333,0.0,66.66666666666666,0.6365141682948128,0.42061983571430506
138,299,1610,20,1,7,12,5.0,35.0,60.0,0.8237197315118312,0.25021798863140465
138,374,982,13,1,0,12,7.6923076923076925,0.0,92.3076923076923,0.2711893730418441,0.7531527948129749
138,810,1381,15,1,13,1,6.666666666666667,86.66666666666667,6.666666666666667,0.48509409130221154,0.5584483294918265
138,1044,1183,9,1,0,8,11.11111111111111,0.0,88.88888888888889,0.34883209584303193,0.6824793428572198
138,1523,1733,16,4,3,9,25.0,18.75,56.25,0.9840865030829146,0.10424586249989909
139,992,1658,15,0,11,4,0.0,73.33333333333333,26.666666666666668,0.5799151714181009,0.472138462859218
139,1521,1823,12,9,0,3,75.0,0.0,25.0,0.5623351446188083,0.4881404928570853
141,1004,1310,17,0,13,4,0.0,76.47058823529412,23.52941176470588,0.5455945739691843,0.503378416938491
142,1193,1787,14,2,1,11,14.285714285714285,7.142857142857142,78.57142857142857,0.6559757323365467,0.40290515671200844
145,249,1675,13,1,1,11,7.6923076923076925,7.6923076923076925,84.61538461538461,0.5359610497090694,0.5121472286107087
145,1104,1659,19,6,3,10,31.57894736842105,15.789473684210526,52.63157894736842,0.9932682101499608,0.0958883125600768
146,1000,1739,15,8,5,2,53.333333333333336,33.33333333333333,13.333333333333334,0.9701157839869381,0.11696255904524144
148,612,1195,17,1,0,16,5.88235294117647,0.0,94.11764705882352,0.22371807606583377,0.7963630314593915
148,646,1188,17,16,0,1,94.11764705882352,0.0,5.88235294117647,0.22371807606583377,0.7963630314593915
148,1470,1751,16,1,14,1,6.25,87.5,6.25,0.4634135588264299,0.57818280060544
149,1228,1241,15,3,2,10,20.0,13.333333333333334,66.66666666666666,0.8608513906312316,0.21641929595119025
150,1025,1354,15,8,3,4,53.333333333333336,20.0,26.666666666666668,1.009613758174038,0.08100995356784879
151,629,743,13,1,11,1,7.6923076923076925,84.61538461538461,7.6923076923076925,0.5359610497090694,0.5121472286107087
151,1147,1794,17,8,9,0,47.05882352941176,52.94117647058824,0.0,0.6914160776171183,0.3706459642324329
153,245,1075,13,10,3,0,76.92307692307693,23.076923076923077,0.0,0.5402041423888608,0.5082849992113494
153,289,1656,17,11,1,5,64.70588235294117,5.88235294117647,29.411764705882355,0.8082699580001821,0.26428097852420795
153,476,1015,18,4,13,1,22.22222222222222,72.22222222222221,5.555555555555555,0.7298429194806347,0.33566834541287394
154,501,1784,19,10,5,4,52.63157894736842,26.31578947368421,21.052631578947366,1.017164350924834,0.07413710786179006
155,475,1325,17,0,9,8,0.0,52.94117647058824,47.05882352941176,0.6914160776171183,0.3706459642324329
155,1126,1461,19,4,15,0,21.052631578947366,78.94736842105263,0.0,0.5146531654289292,0.5315425007189176
156,670,1802,18,0,17,1,0.0,94.44444444444444,5.555555555555555,0.2145591551764051,0.8046998405265214
156,856,1851,15,0,0,15,0.0,0.0,100.0,0.0,1.0
157,963,994,17,1,0,16,5.88235294117647,0.0,94.11764705882352,0.22371807606583377,0.7963630314593915
158,766,1605,17,1,13,3,5.88235294117647,76.47058823529412,17.647058823529413,0.6779087256441981,0.38294088584604025
159,512,885,15,2,0,13,13.333333333333334,0.0,86.66666666666667,0.39267446722755217,0.6425722966346875
160,276,666,13,0,1,12,0.0,7.6923076923076925,92.3076923076923,0.2711893730418441,0.7531527948129749
160,1288,1727,14,10,2,2,71.42857142857143,14.285714285714285,14.285714285714285,0.796311640173813,0.27516590849424016
161,449,1658,19,7,2,10,36.84210526315789,10.526315789473683,52.63157894736842,0.9426749615639384,0.14194027202555715
161,732,1682,18,1,0,17,5.555555555555555,0.0,94.44444444444444,0.2145591551764051,0.8046998405265214
162,496,799,19,3,12,4,15.789473684210526,63.1578947368421,21.052631578947366,0.9097077103274986,0.17194835729502667
162,525,1442,15,1,13,1,6.666666666666667,86.66666666666667,6.666666666666667,0.48509409130221154,0.5584483294918265
163,1502,1699,15,2,1,12,13.333333333333334,6.666666666666667,80.0,0.6277052571971504,0.42863805213926576
165,264,514,14,0,0,14,0.0,0.0,100.0,0.0,1.0
166,684,1678,14,9,4,1,64.28571428571429,28.57142857142857,7.142857142857142,0.8304717124362917,0.2440720707365246
168,330,614,18,1,15,2,5.555555555555555,83.33333333333334,11.11111111111111,0.5566469035821068,0.49331815297919945
169,936,1762,14,7,2,5,50.0,14.285714285714285,35.714285714285715,0.9922819748525739,0.09678602261444236
169,1493,1551,14,5,1,8,35.714285714285715,7.142857142857142,57.14285714285714,0.8760057656431737,0.20262518936030705
170,358,1004,16,2,11,3,12.5,68.75,18.75,0.8314025204956377,0.24322481272844754
170,973,1038,16,1,0,15,6.25,0.0,93.75,0.2337916587064593,0.787193661387227
